date-time,OR.PA,AIR.PA,AI.PA,ALO.PA,MT.AS,ATO.PA,CS.PA,BNP.PA,EN.PA,CAP.PA,CA.PA,ACA.PA,BN.PA,DSY.PA,ENGI.PA,EL.PA,RMS.PA,KER.PA,LR.PA,MC.PA,ML.PA,ORA.PA,RI.PA,PUB.PA,RNO.PA,SAF.PA,SGO.PA,SAN.PA,SU.PA,GLE.PA,STLA.PA,SW.PA,TEP.PA,HO.PA,TTE.PA,URW.AS,VIE.PA,VIV.PA,WLN.PA,FR.PA
2025-03-07 08:00:00+00:00,363.4,173.68,179.94,24.0,31.7,0.01,38.56,76.89,36.15,155.85,13.08,16.48,70.88,40.02,16.92,269.6,2556.0,254.5,105.65,645.6,34.3,11.63,103.9,92.42,48.49,259.3,105.75,109.9,221.9,41.53,,74.8,105.65,247.2,56.78,,30.52,2.95,6.92,9.76
2025-03-07 08:02:00+00:00,363.75,173.76,180.1,,31.72,0.01,38.6,76.91,,155.9,,,,40.1,16.93,269.9,,254.75,,645.6,34.32,,,,,259.3,,,221.85,41.58,,,,247.7,56.79,,,,,9.75
2025-03-07 08:04:00+00:00,363.2,173.98,179.62,25.12,31.69,0.01,38.55,76.89,36.1,155.4,13.06,16.52,70.68,39.94,16.86,268.9,2558.0,254.75,105.75,646.3,34.33,11.66,103.85,92.32,48.59,258.0,105.75,109.5,222.6,41.66,,,106.05,245.0,56.78,,30.46,2.9,6.93,9.76
2025-03-07 08:06:00+00:00,362.7,173.22,179.32,25.24,31.7,0.0,38.43,76.7,36.06,155.2,13.04,16.49,70.6,39.93,16.86,268.9,2551.0,254.95,105.6,643.9,34.26,11.64,103.55,92.18,48.41,257.6,105.9,109.5,222.25,41.62,,74.4,105.8,245.2,56.67,,30.43,2.92,6.97,9.73
2025-03-07 08:08:00+00:00,361.6,173.16,179.22,25.29,31.73,0.01,38.45,76.73,35.98,154.75,13.03,16.49,70.58,39.81,16.83,268.3,2545.0,254.1,105.5,641.9,34.2,11.62,103.65,92.12,48.3,256.8,105.4,109.54,221.75,41.63,,74.3,105.85,244.7,56.78,,30.4,2.89,6.99,9.71
2025-03-07 08:10:00+00:00,360.85,173.2,179.3,25.17,31.73,0.01,38.39,76.62,35.79,155.0,13.01,16.49,70.52,39.86,16.83,267.8,2538.0,252.6,105.45,638.5,34.21,11.61,103.3,91.98,48.36,257.3,105.3,109.38,222.05,41.48,,74.15,105.7,245.0,56.79,,30.37,2.92,7.02,9.72
2025-03-07 08:12:00+00:00,360.2,173.4,179.02,25.03,31.65,0.01,38.45,76.73,35.81,154.3,13.01,16.5,70.64,39.87,16.83,267.9,2534.0,252.3,105.6,639.5,34.2,11.61,103.15,92.16,48.29,257.7,105.15,109.28,222.65,41.65,,74.05,105.7,244.7,56.84,,30.37,2.94,7.01,9.69
2025-03-07 08:14:00+00:00,358.95,173.42,178.98,24.97,31.53,0.0,38.42,76.63,35.85,154.25,13.0,16.5,70.6,39.95,16.81,268.0,2532.0,252.0,105.45,637.2,34.26,11.62,103.15,92.08,48.4,257.7,105.05,109.18,222.9,41.54,,74.1,105.6,244.3,56.81,,30.38,2.95,7.07,9.72
2025-03-07 08:16:00+00:00,358.1,173.46,178.74,25.06,31.5,0.0,38.4,76.69,35.79,154.2,13.01,16.5,70.7,39.96,16.8,268.4,2534.0,251.6,105.35,637.2,34.24,11.6,102.95,92.1,48.29,257.4,105.05,109.08,222.95,41.6,,,105.4,244.8,56.79,,30.38,2.94,7.09,9.74
2025-03-07 08:18:00+00:00,357.95,172.94,178.88,25.04,31.44,0.0,38.42,76.69,35.72,153.85,13.01,16.5,70.68,39.87,16.8,268.3,2532.0,251.1,105.25,637.0,34.24,11.61,102.75,92.12,48.16,256.8,105.0,109.02,222.5,41.53,,74.2,105.3,244.4,56.75,,30.35,2.93,7.1,9.72
